id,time,in,out

1,Fri Oct  7 13:10:08 2022,1,0
2,Fri Oct  7 13:10:15 2022,2,0
3,Fri Oct  7 13:10:21 2022,3,0
4,Fri Oct  7 13:10:22 2022,3,1
5,Fri Oct  7 13:10:25 2022,4,1
6,Fri Oct  7 13:10:26 2022,4,2
7,Fri Oct  7 13:10:26 2022,4,3
8,Fri Oct  7 13:10:31 2022,5,3
1,fri 945.453,3,0
1,Thu Oct 13 14:47:24 2022,1,0
2,Thu Oct 13 14:47:31 2022,2,0
3,Thu Oct 13 14:47:36 2022,3,0
4,Thu Oct 13 14:47:37 2022,3,1
5,Thu Oct 13 14:47:41 2022,4,1
6,Thu Oct 13 14:47:41 2022,4,2
7,Thu Oct 13 14:47:42 2022,4,3
8,Thu Oct 13 14:47:46 2022,5,3
